title,stem,tokens,tokens_clean,merged
"25 4 2015: gempa bumi 20 detik di nepal, nyaris 9.000 orang tewas",25 4 2015 gempa bumi 20 detik di nepal nyaris 9 000 orang tewas,"['25', '4', '2015', 'gempa', 'bumi', '20', 'detik', 'di', 'nepal', 'nyaris', '9', '000', 'orang', 'tewas']","['25', '4', '2015', 'gempa', 'bumi', '20', 'detik', 'nepal', '9', '000', 'orang', 'tewas']",25 4 2015 gempa bumi 20 detik nepal 9 000 orang tewas
jk: palangkaraya belum pasti jadi ibu kota baru,jk palangkaraya belum pasti jadi ibu kota baru,"['jk', 'palangkaraya', 'belum', 'pasti', 'jadi', 'ibu', 'kota', 'baru']","['jk', 'palangkaraya', 'kota']",jk palangkaraya kota
"suhu bumi naik 1 derajat, bencana di indonesia makin marak",suhu bumi naik 1 derajat bencana di indonesia makin marak,"['suhu', 'bumi', 'naik', '1', 'derajat', 'bencana', 'di', 'indonesia', 'makin', 'marak']","['suhu', 'bumi', '1', 'derajat', 'bencana', 'indonesia', 'marak']",suhu bumi 1 derajat bencana indonesia marak
"kerugian akibat gempa bumi dan tsunami di sulawesi tengah capai rp18,48 triliun",rugi akibat gempa bumi dan tsunami di sulawesi tengah capai rp18 48 triliun,"['rugi', 'akibat', 'gempa', 'bumi', 'dan', 'tsunami', 'di', 'sulawesi', 'tengah', 'capai', 'rp18', '48', 'triliun']","['rugi', 'akibat', 'gempa', 'bumi', 'tsunami', 'sulawesi', 'capai', 'rp18', '48', 'triliun']",rugi akibat gempa bumi tsunami sulawesi capai rp18 48 triliun
"kabupaten deiyai diguncang gempa 5,0 sr, tidak berpotensi tsunami",kabupaten deiyai guncang gempa 5 0 sr tidak potensi tsunami,"['kabupaten', 'deiyai', 'guncang', 'gempa', '5', '0', 'sr', 'tidak', 'potensi', 'tsunami']","['kabupaten', 'deiyai', 'guncang', 'gempa', '5', '0', 'sr', 'potensi', 'tsunami']",kabupaten deiyai guncang gempa 5 0 sr potensi tsunami
kuburan massal gempa palu dipadati peziarah jelang ramadan,kubur massal gempa palu padat ziarah jelang ramadan,"['kubur', 'massal', 'gempa', 'palu', 'padat', 'ziarah', 'jelang', 'ramadan']","['kubur', 'massal', 'gempa', 'palu', 'padat', 'ziarah', 'jelang', 'ramadan']",kubur massal gempa palu padat ziarah jelang ramadan
gempa dan misteri sains di dalamnya   kumparan.com,gempa dan misteri sains di dalam kumpar com,"['gempa', 'dan', 'misteri', 'sains', 'di', 'dalam', 'kumpar', 'com']","['gempa', 'misteri', 'sains', 'kumpar', 'com']",gempa misteri sains kumpar com
"gempa magnitudo 7,5 terjadi di papua nugini, potensi tsunami",gempa magnitudo 7 5 jadi di papua nugini potensi tsunami,"['gempa', 'magnitudo', '7', '5', 'jadi', 'di', 'papua', 'nugini', 'potensi', 'tsunami']","['gempa', 'magnitudo', '7', '5', 'papua', 'nugini', 'potensi', 'tsunami']",gempa magnitudo 7 5 papua nugini potensi tsunami
penyebab pulau sumba sering diguncang gempa menurut bmkg,sebab pulau sumba sering guncang gempa turut bmkg,"['sebab', 'pulau', 'sumba', 'sering', 'guncang', 'gempa', 'turut', 'bmkg']","['pulau', 'sumba', 'guncang', 'gempa', 'bmkg']",pulau sumba guncang gempa bmkg
swalayan yang pernah dijarah saat gempa palu mulai beroperasi   kumparan.com,swalayan yang pernah jarah saat gempa palu mulai operasi kumpar com,"['swalayan', 'yang', 'pernah', 'jarah', 'saat', 'gempa', 'palu', 'mulai', 'operasi', 'kumpar', 'com']","['swalayan', 'jarah', 'gempa', 'palu', 'operasi', 'kumpar', 'com']",swalayan jarah gempa palu operasi kumpar com
